src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
192.168.18.20,192.168.18.1,37201,53,UDP,0.00,123,1,1230.0
192.168.18.1,192.168.18.20,53,37201,UDP,0.00,123,1,1230.0
43.109.67.47,192.168.18.20,443,52194,TCP,12.15,6619,12,544.89
127.0.0.1,127.0.0.53,35633,53,UDP,0.00,182,2,1820.0
192.168.18.20,192.168.18.1,34031,53,UDP,0.00,91,1,910.0
192.168.18.20,192.168.18.1,42902,53,UDP,0.00,91,1,910.0
192.168.18.1,192.168.18.20,53,34031,UDP,0.00,107,1,1070.0
127.0.0.53,127.0.0.1,53,35633,UDP,0.01,226,2,2260.0
192.168.18.1,192.168.18.20,53,42902,UDP,0.00,119,1,1190.0
127.0.0.1,127.0.0.53,37599,53,UDP,0.00,174,2,1740.0
192.168.18.20,192.168.18.1,35951,53,UDP,0.00,87,1,870.0
192.168.18.20,192.168.18.1,48942,53,UDP,0.00,87,1,870.0
127.0.0.1,127.0.0.53,57263,53,UDP,0.00,87,1,870.0
192.168.18.20,20.205.243.166,52554,443,TCP,3.16,16078,88,5094.74
192.168.18.1,192.168.18.20,53,35951,UDP,0.00,103,1,1030.0
127.0.0.53,127.0.0.1,53,37599,UDP,0.00,255,2,2550.0
127.0.0.53,127.0.0.1,53,57263,UDP,0.00,103,1,1030.0
192.168.18.1,192.168.18.20,53,48942,UDP,0.00,152,1,1520.0
20.205.243.166,192.168.18.20,443,52554,TCP,3.05,141662,94,46389.73
127.0.0.1,127.0.0.53,38929,53,UDP,0.00,182,2,1820.0
192.168.18.20,192.168.18.1,43633,53,UDP,0.00,91,1,910.0
192.168.18.20,192.168.18.1,38460,53,UDP,0.00,91,1,910.0
192.168.18.1,192.168.18.20,53,43633,UDP,0.00,107,1,1070.0
127.0.0.53,127.0.0.1,53,38929,UDP,0.00,282,2,2820.0
192.168.18.1,192.168.18.20,53,38460,UDP,0.00,178,1,1780.0
192.168.18.20,140.82.113.25,34638,443,TCP,1.81,722,7,398.51
127.0.0.1,127.0.0.53,57577,53,UDP,0.00,100,1,1000.0
127.0.0.1,127.0.0.53,55033,53,UDP,5.01,400,4,79.92
192.168.18.20,192.168.18.1,40726,53,UDP,0.00,100,1,1000.0
127.0.0.53,127.0.0.1,53,55033,UDP,5.02,510,3,101.66
192.168.18.20,192.168.18.1,39958,53,UDP,5.00,200,2,39.96
127.0.0.1,127.0.0.53,56707,53,UDP,0.00,106,1,1060.0
127.0.0.1,127.0.0.53,53988,53,UDP,0.00,212,2,2120.0
192.168.18.20,192.168.18.1,41381,53,UDP,0.00,106,1,1060.0
127.0.0.53,127.0.0.1,53,53988,UDP,0.00,388,2,3880.0
127.0.0.1,127.0.0.53,36136,53,UDP,0.00,212,2,2120.0
192.168.18.20,192.168.18.1,57478,53,UDP,0.00,106,1,1060.0
192.168.18.20,192.168.18.1,35286,53,UDP,0.00,106,1,1060.0
192.168.18.1,192.168.18.20,53,57478,UDP,0.00,284,1,2840.0
127.0.0.53,127.0.0.1,53,36136,UDP,0.01,518,2,5180.0
192.168.18.1,192.168.18.20,53,35286,UDP,0.00,234,1,2340.0
192.168.18.20,192.168.18.1,53948,53,UDP,0.00,105,1,1050.0
192.168.18.1,192.168.18.20,53,53948,UDP,0.00,105,1,1050.0
127.0.0.1,127.0.0.53,53428,53,UDP,0.00,106,1,1060.0
192.168.18.20,192.168.18.1,49371,53,UDP,0.00,105,1,1050.0
192.168.18.1,192.168.18.20,53,49371,UDP,0.00,183,1,1830.0
127.0.0.53,127.0.0.1,53,53428,UDP,0.00,234,1,2340.0
127.0.0.1,127.0.0.53,42880,53,UDP,0.00,220,2,2200.0
127.0.0.53,127.0.0.1,53,42880,UDP,0.00,396,2,3960.0
127.0.0.1,127.0.0.53,36074,53,UDP,0.00,110,1,1100.0
192.168.18.20,192.168.18.1,59726,53,UDP,0.00,110,1,1100.0
127.0.0.1,127.0.0.53,36882,53,UDP,0.00,91,1,910.0
