src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,total_gb,hour,direction,size_category,is_peak_hour,destination_type,cost_urgency,traffic_type,is_peak,cost_nrs
127.0.0.53,127.0.0.1,53,54408,UDP,0.0,184000000,1,1840000000.0,0.17136335372924805,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.7136
192.168.18.20,34.110.164.207,41673,443,UDP,0.49,3978000000,10,8118367346.938776,3.7048012018203735,14,UPLOAD,LARGE,True,CLOUD,True,CLOUD_EGRESS,True,472.3622
34.110.164.207,192.168.18.20,443,41673,UDP,0.52,5488000000,11,10553846153.846151,5.111098289489746,3,DOWNLOAD,LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,76.6665
127.0.0.1,127.0.0.53,44396,53,UDP,0.0,186000000,2,1860000000.0,0.173225998878479,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.5984
192.168.18.20,192.168.18.1,56956,53,UDP,0.0,93000000,1,930000000.0,0.0866129994392395,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,43404,53,UDP,0.0,93000000,1,930000000.0,0.0866129994392395,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.20,43.109.67.47,52194,443,TCP,12.19,7896000000,15,647744052.5020509,7.353723049163818,3,UPLOAD,LARGE,False,INTERNET,False,INTERNET_EGRESS,False,551.5292
192.168.18.1,192.168.18.20,53,56956,UDP,0.0,318000000,1,3180000000.0,0.29616057872772217,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,43404,UDP,0.0,266000000,1,2660000000.0,0.24773180484771729,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,44396,UDP,0.01,566000000,2,5660000000.0,0.5271285772323608,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,7.9069
192.168.18.20,192.168.18.1,37201,53,UDP,0.0,123000000,1,1230000000.0,0.11455267667770386,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.1,192.168.18.20,53,37201,UDP,0.0,123000000,1,1230000000.0,0.11455267667770386,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
43.109.67.47,192.168.18.20,443,52194,TCP,12.15,6619000000,12,544773662.5514404,6.164424121379852,3,DOWNLOAD,LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,92.4664
127.0.0.1,127.0.0.53,35633,53,UDP,0.0,182000000,2,1820000000.0,0.1695007085800171,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.5425
192.168.18.20,192.168.18.1,34031,53,UDP,0.0,91000000,1,910000000.0,0.08475035429000854,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,42902,53,UDP,0.0,91000000,1,910000000.0,0.08475035429000854,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,34031,UDP,0.0,107000000,1,1070000000.0,0.0996515154838562,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,35633,UDP,0.01,226000000,2,2260000000.0,0.21047890186309814,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,3.1572
192.168.18.1,192.168.18.20,53,42902,UDP,0.0,119000000,1,1190000000.0,0.11082738637924194,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.1,127.0.0.53,37599,53,UDP,0.0,174000000,2,1740000000.0,0.16205012798309326,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.4308
192.168.18.20,192.168.18.1,35951,53,UDP,0.0,87000000,1,870000000.0,0.08102506399154663,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,48942,53,UDP,0.0,87000000,1,870000000.0,0.08102506399154663,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.1,127.0.0.53,57263,53,UDP,0.0,87000000,1,870000000.0,0.08102506399154663,3,DOWNLOAD,SMALL,False,INTERNAL,False,OTHER,False,0.8103
192.168.18.20,20.205.243.166,52554,443,TCP,3.16,16078000000,88,5087974683.544304,14.973804354667664,14,UPLOAD,VERY_LARGE,True,CLOUD,True,CLOUD_EGRESS,True,1909.1601
192.168.18.1,192.168.18.20,53,35951,UDP,0.0,103000000,1,1030000000.0,0.09592622518539429,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,37599,UDP,0.0,255000000,2,2550000000.0,0.23748725652694702,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,3.5623
127.0.0.53,127.0.0.1,53,57263,UDP,0.0,103000000,1,1030000000.0,0.09592622518539429,3,DOWNLOAD,SMALL,False,INTERNAL,False,OTHER,False,0.9593
192.168.18.1,192.168.18.20,53,48942,UDP,0.0,152000000,1,1520000000.0,0.14156103134155273,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
20.205.243.166,192.168.18.20,443,52554,TCP,3.05,141662000000,94,46446557377.04919,131.93301856517792,3,DOWNLOAD,VERY_LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,1978.9953
127.0.0.1,127.0.0.53,38929,53,UDP,0.0,182000000,2,1820000000.0,0.1695007085800171,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.5425
192.168.18.20,192.168.18.1,43633,53,UDP,0.0,91000000,1,910000000.0,0.08475035429000854,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
192.168.18.20,192.168.18.1,38460,53,UDP,0.0,91000000,1,910000000.0,0.08475035429000854,14,INTERNAL,SMALL,True,INTERNAL,False,INTERNAL,True,0.0
192.168.18.1,192.168.18.20,53,43633,UDP,0.0,107000000,1,1070000000.0,0.0996515154838562,3,INTERNAL,SMALL,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.53,127.0.0.1,53,38929,UDP,0.0,282000000,2,2820000000.0,0.26263296604156494,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,3.9395
192.168.18.1,192.168.18.20,53,38460,UDP,0.0,178000000,1,1780000000.0,0.16577541828155518,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
