src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
127.0.0.53,127.0.0.1,53,33820,UDP,0.0,294,2,294.0,INTERNAL,LOCAL,OTHER,2.94e-07
192.168.18.1,192.168.18.20,53,45284,UDP,0.0,153,1,153.0,INTERNAL,INTERNET,OTHER,1.53e-07
127.0.0.1,127.0.0.53,43210,53,UDP,0.0,184,2,184.0,INTERNAL,INTERNET,OTHER,1.84e-07
192.168.18.20,192.168.18.1,54682,53,UDP,0.0,92,1,92.0,INTERNAL,INTERNET,OTHER,9.2e-08
192.168.18.20,192.168.18.1,60039,53,UDP,0.0,92,1,92.0,INTERNAL,INTERNET,OTHER,9.2e-08
192.168.18.1,192.168.18.20,53,54682,UDP,0.0,108,1,108.0,INTERNAL,INTERNET,OTHER,1.08e-07
127.0.0.53,127.0.0.1,53,43210,UDP,0.0,228,2,228.0,INTERNAL,LOCAL,OTHER,2.28e-07
192.168.18.1,192.168.18.20,53,60039,UDP,0.0,120,1,120.0,INTERNAL,INTERNET,OTHER,1.2e-07
127.0.0.1,127.0.0.53,39410,53,UDP,0.0,198,2,198.0,INTERNAL,INTERNET,OTHER,1.98e-07
192.168.18.20,192.168.18.1,34101,53,UDP,0.0,99,1,99.0,INTERNAL,INTERNET,OTHER,9.9e-08
192.168.18.20,192.168.18.1,50899,53,UDP,0.0,99,1,99.0,INTERNAL,INTERNET,OTHER,9.9e-08
192.168.18.1,192.168.18.20,53,34101,UDP,0.0,115,1,115.0,INTERNAL,INTERNET,OTHER,1.15e-07
127.0.0.53,127.0.0.1,53,39410,UDP,0.0,242,2,242.0,INTERNAL,LOCAL,OTHER,2.42e-07
192.168.18.1,192.168.18.20,53,50899,UDP,0.0,127,1,127.0,INTERNAL,INTERNET,OTHER,1.27e-07
127.0.0.1,127.0.0.53,59162,53,UDP,0.0,184,2,184.0,INTERNAL,INTERNET,OTHER,1.84e-07
127.0.0.53,127.0.0.1,53,59162,UDP,0.0,228,2,228.0,INTERNAL,LOCAL,OTHER,2.28e-07
127.0.0.1,127.0.0.53,37203,53,UDP,0.0,224,2,224.0,INTERNAL,INTERNET,OTHER,2.24e-07
192.168.18.20,192.168.18.1,58755,53,UDP,0.0,112,1,112.0,INTERNAL,INTERNET,OTHER,1.12e-07
192.168.18.20,192.168.18.1,59731,53,UDP,0.0,112,1,112.0,INTERNAL,INTERNET,OTHER,1.12e-07
192.168.18.1,192.168.18.20,53,58755,UDP,0.0,128,1,128.0,INTERNAL,INTERNET,OTHER,1.28e-07
192.168.18.1,192.168.18.20,53,59731,UDP,0.0,140,1,140.0,INTERNAL,INTERNET,OTHER,1.4e-07
127.0.0.53,127.0.0.1,53,37203,UDP,0.0,268,2,268.0,INTERNAL,LOCAL,OTHER,2.68e-07
192.168.18.187,224.0.0.251,5353,5353,UDP,4.0,474,3,118.52,UPLOAD,INTERNET,INTERNET_EGRESS,4.74e-07
127.0.0.1,127.0.0.53,45384,53,UDP,0.02,234,2,234.0,INTERNAL,INTERNET,OTHER,2.34e-07
192.168.18.20,192.168.18.1,51056,53,UDP,0.0,117,1,117.0,INTERNAL,INTERNET,OTHER,1.17e-07
192.168.18.1,192.168.18.20,53,51056,UDP,0.0,170,1,170.0,INTERNAL,INTERNET,OTHER,1.7e-07
127.0.0.53,127.0.0.1,53,45384,UDP,0.01,368,2,368.0,INTERNAL,LOCAL,OTHER,3.68e-07
192.168.18.20,192.168.18.1,51346,53,UDP,0.0,115,1,115.0,INTERNAL,INTERNET,OTHER,1.15e-07
192.168.18.1,192.168.18.20,53,51346,UDP,0.0,143,1,143.0,INTERNAL,INTERNET,OTHER,1.43e-07
127.0.0.1,127.0.0.53,35666,53,UDP,0.0,184,2,184.0,INTERNAL,INTERNET,OTHER,1.84e-07
127.0.0.53,127.0.0.1,53,35666,UDP,0.0,732,2,732.0,INTERNAL,LOCAL,OTHER,7.32e-07
127.0.0.1,127.0.0.53,51868,53,UDP,0.0,234,2,234.0,INTERNAL,INTERNET,OTHER,2.34e-07
192.168.18.20,192.168.18.1,50905,53,UDP,0.0,117,1,117.0,INTERNAL,INTERNET,OTHER,1.17e-07
192.168.18.20,192.168.18.1,39131,53,UDP,0.0,117,1,117.0,INTERNAL,INTERNET,OTHER,1.17e-07
192.168.18.1,192.168.18.20,53,50905,UDP,0.0,170,1,170.0,INTERNAL,INTERNET,OTHER,1.7e-07
127.0.0.53,127.0.0.1,53,51868,UDP,0.0,352,2,352.0,INTERNAL,LOCAL,OTHER,3.52e-07
192.168.18.1,192.168.18.20,53,39131,UDP,0.0,182,1,182.0,INTERNAL,INTERNET,OTHER,1.82e-07
