src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
192.168.18.1,192.168.18.20,53,34031,UDP,0.0,107,1,107.0,INTERNAL,INTERNET,OTHER,1.07e-07
127.0.0.53,127.0.0.1,53,35633,UDP,0.01,226,2,226.0,INTERNAL,LOCAL,OTHER,2.26e-07
192.168.18.1,192.168.18.20,53,42902,UDP,0.0,119,1,119.0,INTERNAL,INTERNET,OTHER,1.19e-07
127.0.0.1,127.0.0.53,37599,53,UDP,0.0,174,2,174.0,INTERNAL,INTERNET,OTHER,1.74e-07
192.168.18.20,192.168.18.1,35951,53,UDP,0.0,87,1,87.0,INTERNAL,INTERNET,OTHER,8.7e-08
192.168.18.20,192.168.18.1,48942,53,UDP,0.0,87,1,87.0,INTERNAL,INTERNET,OTHER,8.7e-08
127.0.0.1,127.0.0.53,57263,53,UDP,0.0,87,1,87.0,INTERNAL,INTERNET,OTHER,8.7e-08
192.168.18.20,20.205.243.166,52554,443,TCP,3.16,16078,88,5094.74,UPLOAD,CLOUD,CLOUD_EGRESS,1.6078e-05
192.168.18.1,192.168.18.20,53,35951,UDP,0.0,103,1,103.0,INTERNAL,INTERNET,OTHER,1.03e-07
127.0.0.53,127.0.0.1,53,37599,UDP,0.0,255,2,255.0,INTERNAL,LOCAL,OTHER,2.55e-07
127.0.0.53,127.0.0.1,53,57263,UDP,0.0,103,1,103.0,INTERNAL,LOCAL,OTHER,1.03e-07
192.168.18.1,192.168.18.20,53,48942,UDP,0.0,152,1,152.0,INTERNAL,INTERNET,OTHER,1.52e-07
20.205.243.166,192.168.18.20,443,52554,TCP,3.05,141662,94,46389.73,DOWNLOAD,INTERNET,OTHER,0.000141662
127.0.0.1,127.0.0.53,38929,53,UDP,0.0,182,2,182.0,INTERNAL,INTERNET,OTHER,1.82e-07
192.168.18.20,192.168.18.1,43633,53,UDP,0.0,91,1,91.0,INTERNAL,INTERNET,OTHER,9.1e-08
192.168.18.20,192.168.18.1,38460,53,UDP,0.0,91,1,91.0,INTERNAL,INTERNET,OTHER,9.1e-08
192.168.18.1,192.168.18.20,53,43633,UDP,0.0,107,1,107.0,INTERNAL,INTERNET,OTHER,1.07e-07
127.0.0.53,127.0.0.1,53,38929,UDP,0.0,282,2,282.0,INTERNAL,LOCAL,OTHER,2.82e-07
192.168.18.1,192.168.18.20,53,38460,UDP,0.0,178,1,178.0,INTERNAL,INTERNET,OTHER,1.78e-07
192.168.18.20,140.82.113.25,34638,443,TCP,1.81,722,7,398.51,UPLOAD,INTERNET,INTERNET_EGRESS,7.22e-07
127.0.0.1,127.0.0.53,57577,53,UDP,0.0,100,1,100.0,INTERNAL,INTERNET,OTHER,1e-07
127.0.0.1,127.0.0.53,55033,53,UDP,5.01,400,4,79.92,INTERNAL,INTERNET,OTHER,4e-07
192.168.18.20,192.168.18.1,40726,53,UDP,0.0,100,1,100.0,INTERNAL,INTERNET,OTHER,1e-07
127.0.0.53,127.0.0.1,53,55033,UDP,5.02,510,3,101.66,INTERNAL,LOCAL,OTHER,5.1e-07
192.168.18.20,192.168.18.1,39958,53,UDP,5.0,200,2,39.96,INTERNAL,INTERNET,OTHER,2e-07
127.0.0.1,127.0.0.53,56707,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
127.0.0.1,127.0.0.53,53988,53,UDP,0.0,212,2,212.0,INTERNAL,INTERNET,OTHER,2.12e-07
192.168.18.20,192.168.18.1,41381,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
127.0.0.53,127.0.0.1,53,53988,UDP,0.0,388,2,388.0,INTERNAL,LOCAL,OTHER,3.88e-07
127.0.0.1,127.0.0.53,36136,53,UDP,0.0,212,2,212.0,INTERNAL,INTERNET,OTHER,2.12e-07
192.168.18.20,192.168.18.1,57478,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
192.168.18.20,192.168.18.1,35286,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
192.168.18.1,192.168.18.20,53,57478,UDP,0.0,284,1,284.0,INTERNAL,INTERNET,OTHER,2.84e-07
127.0.0.53,127.0.0.1,53,36136,UDP,0.01,518,2,518.0,INTERNAL,LOCAL,OTHER,5.18e-07
192.168.18.1,192.168.18.20,53,35286,UDP,0.0,234,1,234.0,INTERNAL,INTERNET,OTHER,2.34e-07
192.168.18.20,192.168.18.1,53948,53,UDP,0.0,105,1,105.0,INTERNAL,INTERNET,OTHER,1.05e-07
192.168.18.1,192.168.18.20,53,53948,UDP,0.0,105,1,105.0,INTERNAL,INTERNET,OTHER,1.05e-07
127.0.0.1,127.0.0.53,53428,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
192.168.18.20,192.168.18.1,49371,53,UDP,0.0,105,1,105.0,INTERNAL,INTERNET,OTHER,1.05e-07
192.168.18.1,192.168.18.20,53,49371,UDP,0.0,183,1,183.0,INTERNAL,INTERNET,OTHER,1.83e-07
127.0.0.53,127.0.0.1,53,53428,UDP,0.0,234,1,234.0,INTERNAL,LOCAL,OTHER,2.34e-07
