src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
127.0.0.1,127.0.0.53,56707,53,UDP,0.0,106000000,1,1060000000.0
127.0.0.1,127.0.0.53,53988,53,UDP,0.0,212000000,2,2120000000.0
192.168.18.20,192.168.18.1,41381,53,UDP,0.0,106000000,1,1060000000.0
127.0.0.53,127.0.0.1,53,53988,UDP,0.0,388000000,2,3880000000.0
127.0.0.1,127.0.0.53,36136,53,UDP,0.0,212000000,2,2120000000.0
192.168.18.20,192.168.18.1,57478,53,UDP,0.0,1060000000,1,1060000000.0
192.168.18.20,192.168.18.1,35286,53,UDP,0.0,106000000,1,1060000000.0
192.168.18.1,192.168.18.20,53,57478,UDP,0.0,284000000,1,2840000000.0
127.0.0.53,127.0.0.1,53,36136,UDP,0.01,518000000,2,5180000000.0
192.168.18.1,192.168.18.20,53,35286,UDP,0.0,234000000,1,2340000000.0
192.168.18.20,192.168.18.1,53948,53,UDP,0.0,105000000,1,1050000000.0
192.168.18.1,192.168.18.20,53,53948,UDP,0.0,105000000,1,1050000000.0
127.0.0.1,127.0.0.53,53428,53,UDP,0.0,106000000,1,1060000000.0
192.168.18.20,192.168.18.1,49371,53,UDP,0.0,105000000,1,1050000000.0
192.168.18.1,192.168.18.20,53,49371,UDP,0.0,183000000,1,1830000000.0
127.0.0.53,127.0.0.1,53,53428,UDP,0.0,234000000,1,2340000000.0
127.0.0.1,127.0.0.53,42880,53,UDP,0.0,220000000,2,2200000000.0
127.0.0.53,127.0.0.1,53,42880,UDP,0.0,396000000,2,3960000000.0
127.0.0.1,127.0.0.53,36074,53,UDP,0.0,110000000,1,1100000000.0
192.168.18.20,192.168.18.1,59726,53,UDP,0.0,110000000,1,1100000000.0
127.0.0.1,127.0.0.53,36882,53,UDP,0.0,91000000,1,910000000.0
192.168.18.20,20.205.243.168,45062,443,TCP,5.88,10898000000,26,1853401360.5442178
127.0.0.1,127.0.0.53,35186,53,UDP,0.0,100000000,1,1000000000.0
127.0.0.53,127.0.0.1,53,36882,UDP,0.0,107000000,1,1070000000.0
127.0.0.53,127.0.0.1,53,35186,UDP,0.0,164000000,1,1640000000.0
192.168.18.20,185.199.110.154,48438,443,TCP,0.55,7157000000,50,13012727272.727272
192.168.18.1,192.168.18.20,53,40726,UDP,0.0,185000000,1,1850000000.0
127.0.0.53,127.0.0.1,53,57577,UDP,0.0,182000000,1,1820000000.0
192.168.18.1,192.168.18.20,53,41381,UDP,0.0,171000000,1,1710000000.0
127.0.0.53,127.0.0.1,53,56707,UDP,0.0,171000000,1,1710000000.0
192.168.18.1,192.168.18.20,53,59726,UDP,0.0,195000000,1,1950000000.0
127.0.0.53,127.0.0.1,53,36074,UDP,0.0,192000000,1,1920000000.0
185.199.110.154,192.168.18.20,443,48438,TCP,0.51,71838000000,54,140858823529.41177
20.205.243.168,192.168.18.20,443,45062,TCP,5.78,8024000000,22,1388235294.117647
140.82.113.25,192.168.18.20,443,34638,TCP,1.46,483000000,5,330821917.8082192
127.0.0.1,127.0.0.53,48367,53,UDP,0.0,186000000,2,1860000000.0
127.0.0.1,127.0.0.53,49648,53,UDP,0.0,186000000,2,1860000000.0
192.168.18.20,192.168.18.1,52036,53,UDP,0.0,93000000,1,930000000.0
192.168.18.20,192.168.18.1,60506,53,UDP,0.0,93000000,1,930000000.0
192.168.18.20,140.82.112.25,56338,443,TCP,7.47,4956000000,11,663453815.2610441
192.168.18.1,192.168.18.20,53,52036,UDP,0.0,128000000,1,1280000000.0
127.0.0.53,127.0.0.1,53,49648,UDP,0.0,324000000,2,3240000000.0
127.0.0.53,127.0.0.1,53,48367,UDP,0.0,324000000,2,3240000000.0
192.168.18.1,192.168.18.20,53,60506,UDP,0.0,1990000000,1,1990000000.0
192.168.18.20,192.168.18.1,34936,53,UDP,0.0,92000000,1,920000000.0
192.168.18.1,192.168.18.20,53,34936,UDP,0.0,92000000,1,920000000.0
127.0.0.1,127.0.0.53,52649,53,UDP,0.0,194000000,2,1940000000.0
192.168.18.20,192.168.18.1,54718,53,UDP,0.0,97000000,1,970000000.0
192.168.18.20,192.168.18.1,54392,53,UDP,0.0,97000000,1,970000000.0
127.0.0.1,127.0.0.53,36445,53,UDP,0.0,97000000,1,970000000.0
192.168.18.20,140.82.112.21,54358,443,TCP,1.27,7945000000,16,6255905511.811024
192.168.18.1,192.168.18.20,53,54718,UDP,0.0,146000000,1,1460000000.0
127.0.0.53,127.0.0.1,53,52649,UDP,0.0,360000000,2,3600000000.0
127.0.0.53,127.0.0.1,53,36445,UDP,0.0,146000000,1,1460000000.0
192.168.18.1,192.168.18.20,53,54392,UDP,0.0,217000000,1,2170000000.0
192.168.18.20,192.168.18.1,55338,53,UDP,0.0,106000000,1,1060000000.0
192.168.18.1,192.168.18.20,53,55338,UDP,0.0,106000000,1,1060000000.0
127.0.0.1,127.0.0.53,40108,53,UDP,0.0,93000000,1,930000000.0
192.168.18.20,140.82.112.25,56346,443,TCP,1.83,3176000000,15,1735519125.68306
127.0.0.53,127.0.0.1,53,40108,UDP,0.0,212000000,1,2120000000.0
192.168.18.20,140.82.113.21,48840,443,TCP,2.02,11792000000,22,5837623762.376238
140.82.112.21,192.168.18.20,443,54358,TCP,1.31,8802000000,19,6719083969.465649
140.82.113.21,192.168.18.20,443,48840,TCP,1.64,7700000000,18,4695121951.219513
140.82.112.25,192.168.18.20,443,56338,TCP,6.63,4564000000,10,688386123.6802413
140.82.112.25,192.168.18.20,443,56346,TCP,1.2,5883000000,11,4902500000.0
140.82.113.22,192.168.18.20,443,35924,TCP,0.01,168000000,2,1680000000.0
192.168.18.20,140.82.113.22,35924,443,TCP,0.0,72000000,1,720000000.0
127.0.0.1,127.0.0.53,41399,53,UDP,0.0,200000000,2,2000000000.0
127.0.0.53,127.0.0.1,53,41399,UDP,0.0,568000000,2,5680000000.0
192.168.18.1,192.168.18.20,53,39958,UDP,0.0,185000000,1,1850000000.0
127.0.0.1,127.0.0.53,43587,53,UDP,0.0,176000000,2,1760000000.0
192.168.18.20,192.168.18.1,50292,53,UDP,0.0,88000000,1,880000000.0
192.168.18.20,192.168.18.1,54768,53,UDP,0.0,88000000,1,880000000.0
127.0.0.1,127.0.0.53,51632,53,UDP,0.0,184000000,2,1840000000.0
127.0.0.53,127.0.0.1,53,51632,UDP,0.0,732000000,2,7320000000.0
192.168.18.1,192.168.18.20,53,50292,UDP,0.0,264000000,1,2640000000.0
127.0.0.53,127.0.0.1,53,43587,UDP,0.0,464000000,2,4640000000.0
192.168.18.1,192.168.18.20,53,54768,UDP,0.0,200000000,1,2000000000.0
127.0.0.1,127.0.0.53,44964,53,UDP,0.0,194000000,2,1940000000.0
192.168.18.20,192.168.18.1,51135,53,UDP,0.0,97000000,1,970000000.0
192.168.18.20,192.168.18.1,37733,53,UDP,0.0,97000000,1,970000000.0
192.168.18.1,192.168.18.20,53,51135,UDP,0.0,113000000,1,1130000000.0
127.0.0.53,127.0.0.1,53,44964,UDP,0.0,238000000,2,2380000000.0
192.168.18.1,192.168.18.20,53,37733,UDP,0.0,125000000,1,1250000000.0
127.0.0.1,127.0.0.53,50484,53,UDP,0.0,188000000,2,1880000000.0
192.168.18.20,192.168.18.1,43206,53,UDP,0.0,94000000,1,940000000.0
192.168.18.20,192.168.18.1,60717,53,UDP,0.0,94000000,1,940000000.0
192.168.18.1,192.168.18.20,53,43206,UDP,0.0,110000000,1,1100000000.0
127.0.0.53,127.0.0.1,53,50484,UDP,0.01,232000000,2,2320000000.0
192.168.18.1,192.168.18.20,53,60717,UDP,0.0,122000000,1,1220000000.0
127.0.0.1,127.0.0.53,54626,53,UDP,0.0,208000000,2,2080000000.0
192.168.18.20,192.168.18.1,58396,53,UDP,0.0,104000000,1,1040000000.0
192.168.18.20,192.168.18.1,54318,53,UDP,0.0,104000000,1,1040000000.0
192.168.18.1,192.168.18.20,53,54318,UDP,0.0,132000000,1,1320000000.0
127.0.0.53,127.0.0.1,53,54626,UDP,0.0,252000000,2,2520000000.0
192.168.18.1,192.168.18.20,53,58396,UDP,0.0,120000000,1,1200000000.0
127.0.0.1,127.0.0.53,39717,53,UDP,0.0,182000000,2,1820000000.0
127.0.0.53,127.0.0.1,53,39717,UDP,0.0,226000000,2,2260000000.0
127.0.0.1,127.0.0.53,51891,53,UDP,0.0,220000000,2,2200000000.0
192.168.18.20,192.168.18.1,35797,53,UDP,0.0,110000000,1,1100000000.0
192.168.18.20,192.168.18.1,46159,53,UDP,0.0,110000000,1,1100000000.0
192.168.18.1,192.168.18.20,53,35797,UDP,0.0,156000000,1,1560000000.0
127.0.0.53,127.0.0.1,53,51891,UDP,0.0,324000000,2,3240000000.0
192.168.18.1,192.168.18.20,53,46159,UDP,0.0,168000000,1,1680000000.0
